SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,Median Home Price
0,Maryvale,neighborhood,AZ,AZ,Phoenix,"Phoenix-Mesa-Chandler, AZ",Maricopa County,"$330,331"
1,Paradise,neighborhood,NV,NV,Las Vegas,"Las Vegas-Henderson-Paradise, NV",Clark County,"$395,525"
2,Upper West Side,neighborhood,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,"$1,344,271"
3,Upper East Side,neighborhood,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,"$1,307,191"
4,South Los Angeles,neighborhood,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,"$658,428"
5,Spring Valley,neighborhood,NV,NV,Las Vegas,"Las Vegas-Henderson-Paradise, NV",Clark County,"$421,247"
6,East New York,neighborhood,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,"$663,905"
7,Bedford-Stuyvesant,neighborhood,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,"$1,120,546"
8,Southeast Los Angeles,neighborhood,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,"$585,625"
9,Sunrise Manor,neighborhood,NV,NV,Las Vegas,"Las Vegas-Henderson-Paradise, NV",Clark County,"$356,531"
10,Deer Valley,neighborhood,AZ,AZ,Phoenix,"Phoenix-Mesa-Chandler, AZ",Maricopa County,"$422,479"
11,Washington Heights,neighborhood,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,"$554,534"
12,Paradise Valley,neighborhood,AZ,AZ,Phoenix,"Phoenix-Mesa-Chandler, AZ",Maricopa County,"$564,039"
13,North Mountain,neighborhood,AZ,AZ,Phoenix,"Phoenix-Mesa-Chandler, AZ",Maricopa County,"$371,345"
14,Flushing,neighborhood,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,"$783,964"
15,Williamsburg,neighborhood,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,"$1,321,476"
16,Enterprise,neighborhood,NV,NV,Las Vegas,"Las Vegas-Henderson-Paradise, NV",Clark County,"$481,693"
17,Crown Heights,neighborhood,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,"$1,083,190"
18,Harlem,neighborhood,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,"$785,827"
19,Astoria,neighborhood,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,"$758,456"
20,Camelback East,neighborhood,AZ,AZ,Phoenix,"Phoenix-Mesa-Chandler, AZ",Maricopa County,"$554,820"
21,Hollywood,neighborhood,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,"$894,656"
22,Alhambra,neighborhood,AZ,AZ,Phoenix,"Phoenix-Mesa-Chandler, AZ",Maricopa County,"$344,110"
23,Borough Park,neighborhood,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,"$1,298,333"
24,Sheepshead Bay,neighborhood,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,"$671,912"
25,Roosevelt,neighborhood,CA,CA,Fresno,"Fresno, CA",Fresno County,"$334,939"
26,East Side,neighborhood,TX,TX,El Paso,"El Paso, TX",El Paso County,"$218,762"
27,South Mountain,neighborhood,AZ,AZ,Phoenix,"Phoenix-Mesa-Chandler, AZ",Maricopa County,"$358,640"
28,South Side,neighborhood,TX,TX,Corpus Christi,"Corpus Christi, TX",Nueces County,"$259,236"
29,Bushwick,neighborhood,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,"$995,758"
30,East Flatbush,neighborhood,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,"$712,174"
31,Alief,neighborhood,TX,TX,Houston,"Houston-The Woodlands-Sugar Land, TX",Harris County,"$210,583"
32,Concourse,neighborhood,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County,"$341,392"
33,East San Jose,neighborhood,CA,CA,San Jose,"San Jose-Sunnyvale-Santa Clara, CA",Santa Clara County,"$1,018,040"
34,Gravesend,neighborhood,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,"$821,088"
35,Bullard,neighborhood,CA,CA,Fresno,"Fresno, CA",Fresno County,"$431,959"
36,Elmhurst,neighborhood,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,"$523,291"
37,Midwood,neighborhood,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,"$1,037,884"
38,Canarsie,neighborhood,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,"$675,981"
39,South Dorchester,neighborhood,MA,MA,Boston,"Boston-Cambridge-Newton, MA-NH",Suffolk County,"$667,879"
40,East Memphis-Colonial-Yorkshire,neighborhood,TN,TN,Memphis,"Memphis, TN-MS-AR",Shelby County,"$185,984"
41,North Hollywood,neighborhood,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,"$831,472"
42,Lake View,neighborhood,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,"$413,144"
43,Jackson Heights,neighborhood,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,"$467,309"
44,Sunset Park,neighborhood,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,"$874,111"
45,Arden-Arcade,neighborhood,CA,CA,Sacramento,"Sacramento-Roseville-Folsom, CA",Sacramento County,"$499,161"
46,Southeast,neighborhood,TX,TX,Arlington,"Dallas-Fort Worth-Arlington, TX",Tarrant County,"$310,694"
47,Blossom Valley,neighborhood,CA,CA,San Jose,"San Jose-Sunnyvale-Santa Clara, CA",Santa Clara County,"$1,368,588"
48,West San Jose,neighborhood,CA,CA,San Jose,"San Jose-Sunnyvale-Santa Clara, CA",Santa Clara County,"$2,040,360"
49,North Long Beach,neighborhood,CA,CA,Long Beach,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,"$696,130"
50,East,neighborhood,TX,TX,Arlington,"Dallas-Fort Worth-Arlington, TX",Tarrant County,"$244,883"
